DEPTO,CÓDIGO,MATERIA,DOCENTES,FECHA,HORA INICIO,HORA FIN,SEDE
MECANICA,6758,INTRODUCCIÓN AL MÉTODO DE LOS ELEMENTOS FINITOS,"GOLDSCHMIT, MARCELA BEATRIZ",2/7/2023,16:00,19:00,Paseo Colon
MECANICA,6759,MECANICA DEL CONTINUO,"TOSCANO, RITA GENOVEVA",2/7/2023,16:00,19:00,Paseo Colon
COMPUTACION,9513,MÉTODOS MATEMÁTICOS Y NUMÉRICOS,"MENENDEZ, ANGEL NICOLAS",2/7/2023,16:00,19:00,Paseo Colon
COMPUTACION,9510,MODELACIÓN NUMÉRICA,"MENENDEZ, ANGEL NICOLAS",2/7/2023,16:00,19:00,Paseo Colon
ELECTRONICA,8653,PROCESAMIENTO DEL HABLA,"PELLE, PATRICIA ALEJANDRA",2/7/2023,16:00,19:00,Paseo Colon
ENERGIA,6540,USO EFICIENTE DE LA ENERGIA ELECTRICA,"TANIDES, CARLOS GUSTAVO",2/7/2023,16:00,20:00,Paseo Colon
ENERGIA,8521,USO EFICIENTE DE LA ENERGÍA ELÉCTRICA,"TANIDES, CARLOS GUSTAVO",2/7/2023,16:00,20:00,Paseo Colon
AMBIENTE,9705,GESTIÓN AMBIENTAL,"BIANUCCI, MONICA ADRIANA",2/7/2023,17:00,19:00,Paseo Colon
AMBIENTE,7702,INTRODUCCION A LA INGENIERIA AMBIENTAL,"BIANUCCI, MONICA ADRIANA",2/7/2023,17:00,19:00,Paseo Colon
ESTABILIDAD,6414,METODO DE LOS ELEMENTOS FINITOS,"SCHWARZ, RODOLFO ALEJANDRO - CARNICER, ROBERTO SERGIO",2/7/2023,17:00,20:00,Las Heras
ESTABILIDAD,8409,MÉTODO DE LOS ELEMENTOS FINITOS,"CARNICER, ROBERTO SERGIO - SCHWARZ, RODOLFO ALEJANDRO",2/7/2023,17:00,20:00,Las Heras
AMBIENTE,7705,PROYECTOS NACIONALES E ING. AMBIENTAL,"BIANUCCI, MONICA ADRIANA",2/7/2023,17:00,19:00,Paseo Colon
AMBIENTE,9704,SEGURIDAD AMBIENTAL Y DEL TRABAJO,"BIANUCCI, MONICA ADRIANA",2/7/2023,17:00,19:00,Paseo Colon
ESTABILIDAD,8404,COMPORTAMIENTO DE MATERIALES,"FERNANDEZ LUCO, LUIS - BENITEZ, ALEJANDRA",2/7/2023,18:00,21:00,Las Heras
AMBIENTE,9705,GESTIÓN AMBIENTAL,"SOLANA, ROMINA SOLEDAD",2/7/2023,18:00,23:00,Paseo Colon
AMBIENTE,9708,GESTIÓN AMBIENTAL PARA INGENIERÍA EN PETRÓLEO,"SOLANA, ROMINA SOLEDAD",2/7/2023,18:00,23:00,Paseo Colon
AGRIMENSURA,7031,INFORMACION RURAL,NULL,2/7/2023,18:00,22:00,Las Heras
ENERGIA,7902,PERFORACIÓN DE POZOS I,"MELI, RICARDO ARIEL",2/7/2023,18:00,20:00,Ing Quimica
ENERGIA,8515,PROTECCIONES ELÉCTRICAS Y EQUIPOS DE MANIOBRA,"LINTURA, LEONARDO AUGUSTO",2/7/2023,18:00,20:00,Paseo Colon
AMBIENTE,7705,PROYECTOS NACIONALES E ING. AMBIENTAL,"SOLANA, ROMINA SOLEDAD",2/7/2023,18:00,23:00,Paseo Colon
TEC INDUSTRIAL,7202,INDUSTRIAS I,"LEGUIZAMON, CARLOS DANIEL",2/7/2023,18:30,21:00,Las Heras
TEC INDUSTRIAL,9202,INDUSTRIAS I,"LEGUIZAMON, CARLOS DANIEL",2/7/2023,18:30,21:00,Las Heras
ELECTRONICA,8648,SEMINARIO DE ELECTRÓNICA,"FUCHS, JORGE HECTOR ANTONIO",2/7/2023,18:30,21:30,Paseo Colon
